Generation,Best,Mean,Diversity
0,34,24.62,24.894545454545455
1,37,27.42,24.39030303030303
2,37,30.39,23.107272727272726
3,39,32.71,21.354141414141413
4,41,35.32,19.46949494949495
5,44,37.97,16.906464646464645
6,46,40.11,14.502020202020201
7,48,42.0,11.94989898989899
8,48,43.85,9.394949494949495
9,50,45.42,7.405656565656566
