Generation,Best,Mean,Diversity
0,33,24.72,25.06828282828283
1,35,28.1,24.084040404040405
2,41,30.88,22.384242424242423
3,41,33.43,20.573535353535352
4,41,36.01,17.84868686868687
5,44,38.1,15.311919191919191
6,46,40.2,13.136161616161615
7,47,42.51,9.88949494949495
8,49,44.77,6.831717171717171
9,49,45.71,5.625656565656565
10,50,47.04,3.6775757575757577
